Timestamp,"Are you familiar with the term ""food insecurity?""",***NON-FIRST YEARS: Approximately how much $ were you left with in your top up meal plan account at the end of first year?,"***NON-FIRST YEARS: If you have any money left over in your top up account, approximately how much do you think you have?",***FIRST YEARS: Approximately how much $ are you left with in your top up meal plan account right now,"If given the option to donate the remaining $ to your food insecure peers at Western, how much would you donate?",***FACULTY/STAFF: Approximately how much $ are you left with in your top up meal plan account right now,Food_Insecurity_Familiarity,Upper_Year_Dollars_Remaining_At_End_Of_First_Year,Upper_Year_Dollars_Remaining_Now,First_Year_Dollar_Remaining_Now,Donation_Percentage,Faculty_Staff_Dollar_Remaining_Now,Donation_Amount
2024-02-12 18:24:02,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-02-12 18:27:11,Yes I know what it is,,,,20% - 50% of remaining funds,,Yes I know what it is,,,,0.35,,
2024-02-12 18:27:41,Yes I know what it is,$200 - $1000,,,5% of remaining funds,,Yes I know what it is,600.0,,,0.05,,
2024-02-12 18:50:48,I have heard of it,<$50,Less than $10,,0,,I have heard of it,25.0,5.0,,,,
2024-02-12 19:25:54,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-02-12 20:10:08,Yes I know what it is,$50 - $200,Less than $10,,50% - 90%,,Yes I know what it is,125.0,5.0,,0.7,,
2024-02-13 10:27:32,Yes I know what it is,>$1000 (greater than $1000),Less than $10,Less than $10,50% - 90%,,Yes I know what it is,1250.0,5.0,,0.7,,
2024-02-26 14:18:56,Yes I know what it is,Finished it in residence,Less than $10,,15% of remaining funds,,Yes I know what it is,0.0,5.0,,0.15,,
2024-02-26 14:21:06,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-02-26 14:22:18,Yes I know what it is,$50 - $200,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,125.0,5.0,,0.35,,
2024-02-26 14:25:50,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-02-26 14:29:10,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-02-26 14:29:26,Yes I know what it is,$50 - $200,$50 - $100,,5% of remaining funds,,Yes I know what it is,125.0,75.0,,0.05,,
2024-02-26 14:29:50,Yes I know what it is,,>$1000 (greater than $1000),$200 - $1000,20% - 50% of remaining funds,,Yes I know what it is,,1250.0,600.0,0.35,,210.0
2024-02-26 14:30:18,I have heard of it,$50 - $200,$50 - $100,,100% - Drain the account and donate all of it,,I have heard of it,125.0,75.0,,1.0,,
2024-02-26 14:33:06,Yes I know what it is,$50 - $200,Less than $10,,5% of remaining funds,,Yes I know what it is,125.0,5.0,,0.05,,
2024-02-26 14:33:44,Yes I know what it is,Finished it in residence,Less than $10,,0,,Yes I know what it is,0.0,5.0,,,,
2024-02-26 14:33:56,Yes I know what it is,$200 - $1000,$100 - $1000,,20% - 50% of remaining funds,,Yes I know what it is,600.0,550.0,,0.35,,
2024-02-26 14:37:46,Yes I know what it is,$200 - $1000,$50 - $100,,10% of remaining funds,,Yes I know what it is,600.0,75.0,,0.1,,
2024-02-26 14:38:11,I have heard of it,<$50,$10 - $50,,100% - Drain the account and donate all of it,,I have heard of it,25.0,30.0,,1.0,,
2024-02-26 14:43:22,Yes I know what it is,$50 - $200,$50 - $100,,10% of remaining funds,,Yes I know what it is,125.0,75.0,,0.1,,
2024-02-26 14:45:23,Yes I know what it is,$50 - $200,Less than $10,,5% of remaining funds,,Yes I know what it is,125.0,5.0,,0.05,,
2024-02-26 14:49:25,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-02-26 14:52:23,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
